turn,prompt_tokens,completion_tokens,prompt_tps,gen_tps,total_ms
1,97,65,1.192138146344888,10.363543386164736,87601
2,185,65,58.38566812312371,9.696780168993667,7594
3,278,61,1.1322224607735136,9.213436630289971,88699
4,369,57,0.9487536205441649,9.397319683055258,88214
5,450,61,0.8685219061164029,9.07051143474024,88406
6,539,58,0.8516107554399345,9.356150741704747,88342
