turn,prompt_tokens,cached_tokens,completion_tokens,prompt_tps,gen_tps,total_ms
1,97,0,65,1.5055287361045906,9.282534085392642,71356
2,185,130,65,56.25677638442812,9.122712889552313,8034
3,278,185,61,1.4422175089795872,8.98152096968093,71236
4,369,291,57,1.2196366949340405,8.935610786494909,70280
5,450,379,61,1.1172112066858197,9.250228866079196,70085
6,539,469,58,1.0927359751630479,8.807587133691293,70627
