turn,prompt_tokens,cached_tokens,prompt_n,completion_tokens,prompt_tps,gen_tps,total_ms,finish_reason
1,355,0,355,18,55.02431687310602,7.3718235029344195,8815,stop
2,401,356,45,18,45.4518367087214,8.754488606548048,2978,stop
3,455,418,37,27,43.55790375822303,8.741834790081649,3871,stop
4,521,458,63,35,51.14080524850778,8.781719765507418,5141,stop
5,595,533,62,28,68.16864923821535,8.661877824534095,4073,stop
6,657,622,35,24,42.9799602865167,8.870978939524608,3468,stop
7,713,663,50,29,61.255292457268304,8.690939633354088,4077,stop
8,771,718,53,30,40.36093335800681,8.51957165943923,4752,stop
9,833,800,33,28,38.87585173456982,8.561255625458383,4068,stop
10,894,860,34,37,41.83209826113811,8.527418968201253,5105,stop
11,969,911,58,22,63.886361583588695,9.006188538124054,3279,stop
12,1025,990,35,35,40.61262402805288,8.503614035965285,4960,stop
13,1097,1035,62,27,61.16944132567992,8.432455222851955,4159,stop
14,1164,1123,41,43,47.930120222769844,8.324272428860173,5951,stop
15,1260,1192,68,65,49.58393247251737,8.110589921223362,9319,stop
