turn,prompt_tokens,completion_tokens,prompt_tps,gen_tps,total_ms
1,97,65,1.3582687579225927,9.392824351836413,78301
2,185,65,53.6712082267228,9.394585049251846,7968
3,278,61,1.3833406928049832,9.318403800914787,73710
4,369,57,1.1774800242778267,9.22069789815838,72362
5,450,61,1.0785423721624994,8.957281381499422,72575
6,539,58,1.0597214661403929,8.946075411648952,72474
