turn,prompt_tokens,cached_tokens,prompt_n,completion_tokens,prompt_tps,gen_tps,total_ms
1,97,0,97,79,22.628070798334665,4.800002658463011,20622
2,207,93,114,83,42.931482107739946,6.257067338482391,15877
3,321,203,118,84,51.35970465558312,6.725212749674536,14695
4,429,317,112,87,48.43917726057423,6.976076195624427,14710
5,542,425,117,120,49.74485565913635,7.053845738914052,19303
6,689,538,151,102,43.28947240167126,7.172056644761359,17656
