turn,prompt_tokens,completion_tokens,prompt_tps,gen_tps,total_ms
1,112,71,2.1140212459135217,8.282964037381726,61517
2,214,78,2.041880431642736,8.337437987598008,61386
3,323,82,2.169170289101065,7.756812252775551,62739
4,431,87,1.982126984009562,8.041555768002238,67353
5,544,87,2.152472030419691,7.283994210410369,66468
6,658,86,2.207319366264393,7.085496771680953,65709
