turn,prompt_tokens,cached_tokens,prompt_n,prompt_tps,gen_tps,total_ms
1,97,0,97,63.41896200811893,8.829258042129688,7787
2,177,109,68,55.733319345362986,8.946658742483208,5169
3,239,182,57,65.45735166445414,8.936726191220918,4823
