turn,prompt_tokens,cached_tokens,prompt_n,completion_tokens,prompt_tps,gen_tps,total_ms,finish_reason
1,355,0,355,18,45.645960416080285,7.029842093205781,10228,stop
2,401,356,45,18,43.142996022215776,8.530856106537344,3071,stop
3,455,418,37,27,41.74493842621582,8.909986518505013,3847,stop
4,521,458,63,35,49.90668242555982,9.076326298201634,5056,stop
5,595,533,62,28,66.8826328456295,9.041939529517746,3960,stop
6,657,622,35,24,41.660665546986685,9.124402500403654,3408,stop
7,713,663,50,29,57.86199913207001,9.132041823446974,3974,stop
8,771,718,53,30,36.9057392602558,8.990530800938489,4712,stop
9,833,800,33,28,37.347469539177496,8.946491037107062,3951,stop
10,894,860,34,37,39.66258803053086,8.859301010993901,4988,stop
11,969,911,58,22,56.668682638767436,9.00444304947041,3407,stop
12,1025,990,35,35,38.6902787910946,8.85363637073821,4788,stop
13,1097,1035,62,27,58.21033270960649,8.663752757822452,4138,stop
14,1164,1123,41,43,43.4016750929431,8.568494299299138,5927,stop
15,1260,1192,68,65,45.60966710308858,8.335259776836443,9229,stop
