turn,prompt_tokens,cached_tokens,prompt_n,completion_tokens,prompt_tps,gen_tps,total_ms,finish_reason
1,355,0,355,18,52.30734321426414,8.476524266045187,8826,stop
2,401,356,45,18,41.690059422231364,8.611418842696226,3124,stop
3,455,418,37,27,39.31001364163716,8.273680626381267,4138,stop
4,521,458,63,35,42.56762509138526,8.81186284076316,5376,stop
5,595,533,62,28,65.04324326592615,9.112795140652617,3975,stop
6,657,622,35,24,42.392537944349506,8.836393030467883,3473,stop
7,713,663,50,29,56.30098053787705,9.212926525594826,3975,stop
8,771,718,53,30,35.28546272224016,9.180527152200476,4732,stop
9,833,800,33,28,39.09503291683302,9.001650302555468,3917,stop
10,894,860,34,37,37.85002927811088,8.77352676035331,5068,stop
11,969,911,58,22,58.30563815520961,8.68599148111045,3489,stop
12,1025,990,35,35,40.24903804799065,8.545186948584112,4917,stop
13,1097,1035,62,27,59.54730601264515,9.534569967058061,3844,stop
14,1164,1123,41,43,42.77512490858122,8.412993026430017,6010,stop
15,1260,1192,68,65,43.31508154701087,7.95037672984359,9666,stop
