turn,prompt_tokens,cached_tokens,prompt_n,completion_tokens,prompt_tps,gen_tps,total_ms,finish_reason
1,355,0,355,18,58.065046919011365,6.68226123003134,8696,stop
2,401,356,45,18,52.612257019059676,9.545896106958958,2677,stop
3,455,418,37,27,46.83224184675984,9.398978692515305,3593,stop
4,521,458,63,35,54.95684579109071,9.538421744683943,4747,stop
5,595,533,62,28,71.4956191635935,9.330950139549543,3803,stop
6,657,622,35,24,44.373278158331466,9.293184620829987,3302,stop
7,713,663,50,29,60.82525269851233,9.343988594994492,3884,stop
8,771,718,53,30,40.31613938734682,9.286377140910206,4498,stop
9,833,800,33,28,39.7648811030055,9.028656957182095,3879,stop
10,894,860,34,37,40.56035320909936,8.942426423081594,4960,stop
11,969,911,58,22,59.021725082910265,9.049496869520476,3353,stop
12,1025,990,35,35,40.44830590938192,8.793150446148935,4780,stop
13,1097,1035,62,27,59.405978541027494,9.09228247063892,3954,stop
14,1164,1123,41,43,44.72345090510447,8.981863052250919,5672,stop
15,1260,1192,68,65,48.95530812326946,8.909955984817435,8624,stop
