turn,prompt_tokens,cached_tokens,prompt_n,completion_tokens,prompt_tps,gen_tps,total_ms
1,69,0,69,132,35.483368328162534,8.190396840982695,17981
2,224,82,142,170,65.85296516888272,8.67365807988203,21795
3,420,295,125,388,77.78353030197434,8.065627783240776,49638
4,834,428,406,145,49.479948677349796,8.057005552339902,26145
5,1000,869,131,157,52.33943280835417,8.15962912602631,21681
6,1187,1042,145,154,51.27991121855923,8.044036737378656,21911
